	chunks	max	min	sd	sttr_100
EO_ESSAY_027	7.0	0.75	0.64	0.0381190401832	0.704285714286
EO_ESSAY_028	9.0	0.77	0.61	0.0496655480858	0.683333333333
EO_ESSAY_029	9.0	0.78	0.66	0.0358322566591	0.742222222222
EO_FICTION_001	31.0	0.77	0.58	0.0471078201806	0.672580645161
EO_FICTION_002	30.0	0.75	0.61	0.0357398004098	0.684
EO_FICTION_003	32.0	0.78	0.55	0.0570498685362	0.68625
EO_FICTION_004	31.0	0.79	0.62	0.0425097160957	0.718387096774
EO_FICTION_005	31.0	0.8	0.61	0.0410324609449	0.737419354839
EO_FICTION_006	31.0	0.76	0.59	0.0422297368732	0.678064516129
EO_FICTION_007	31.0	0.82	0.65	0.0397390028243	0.725806451613
EO_FICTION_008	31.0	0.75	0.58	0.0430061825529	0.676129032258
EO_FICTION_009	30.0	0.78	0.61	0.0336386021641	0.714666666667
EO_FICTION_010	30.0	0.81	0.65	0.040655736236	0.727333333333
EO_FORUM_001	40.0	0.8	0.47	0.0648054781635	0.6705
EO_FORUM_002	45.0	0.81	0.56	0.0484250725794	0.674888888889
EO_FORUM_003	31.0	0.81	0.61	0.045537602671	0.698064516129
EO_FORUM_004	35.0	0.83	0.64	0.0397379169159	0.712571428571
EO_FORUM_005	33.0	0.8	0.56	0.0497117494652	0.681212121212
EO_FORUM_006	31.0	0.79	0.61	0.0398540521587	0.692903225806
EO_FORUM_007	49.0	0.74	0.54	0.0527486870927	0.663673469388
EO_FORUM_008	35.0	0.75	0.33	0.0694608978241	0.652571428571
EO_FORUM_009	30.0	0.77	0.54	0.0525187797099	0.661333333333
EO_FORUM_010	32.0	0.8	0.52	0.0608500975759	0.653125
EO_INSTR_001	30.0	0.76	0.45	0.0713177553084	0.572666666667
EO_INSTR_002	26.0	0.75	0.35	0.0940673622414	0.568846153846
EO_INSTR_003	30.0	0.66	0.44	0.0636099223567	0.542666666667
EO_INSTR_004	31.0	0.72	0.55	0.0424067809158	0.638709677419
EO_INSTR_005	29.0	0.71	0.4	0.0660450608256	0.589655172414
EO_INSTR_006	34.0	0.71	0.5	0.0511054273623	0.59
EO_INSTR_007	30.0	0.76	0.5	0.0553975530948	0.613333333333
EO_INSTR_008	30.0	0.75	0.48	0.06006015503	0.611666666667
EO_INSTR_009	33.0	0.74	0.46	0.0635237098097	0.573636363636
EO_INSTR_010	29.0	0.69	0.42	0.0705322048031	0.578965517241
EO_INTERVIEW_001	17.0	0.68	0.54	0.0357325707023	0.597647058824
EO_INTERVIEW_002	31.0	0.72	0.51	0.0464874413797	0.632580645161
EO_INTERVIEW_003	32.0	0.77	0.58	0.0496147265814	0.6659375
EO_INTERVIEW_004	39.0	0.75	0.53	0.0547326296601	0.663076923077
EO_INTERVIEW_005	30.0	0.74	0.56	0.0466964190871	0.658333333333
EO_INTERVIEW_006	30.0	0.73	0.5	0.0590705792534	0.632
EO_INTERVIEW_007	19.0	0.72	0.55	0.0467325744851	0.630526315789
EO_INTERVIEW_008	34.0	0.71	0.49	0.0486566958233	0.591764705882
EO_INTERVIEW_009	28.0	0.72	0.53	0.0387627530035	0.647857142857
EO_INTERVIEW_010	17.0	0.66	0.52	0.0421481979239	0.6
EO_INTERVIEW_011	27.0	0.71	0.46	0.0473002260614	0.608148148148
EO_INTERVIEW_012	17.0	0.63	0.53	0.0350185319203	0.578235294118
EO_MEDCONSULT_001	2.0	0.57	0.57	0.0	0.57
EO_MEDCONSULT_002	1.0	0.54	0.54	0.0	0.54
EO_MEDCONSULT_003	3.0	0.65	0.51	0.0588784057755	0.59
EO_MEDCONSULT_004	3.0	0.63	0.53	0.0449691252108	0.593333333333
EO_MEDCONSULT_005	6.0	0.62	0.51	0.0377123616633	0.573333333333
EO_MEDCONSULT_006	7.0	0.62	0.49	0.0390708409462	0.571428571429
EO_MEDCONSULT_007	1.0	0.65	0.65	0.0	0.65
EO_MEDCONSULT_008	2.0	0.62	0.6	0.01	0.61
EO_MEDCONSULT_009	2.0	0.64	0.62	0.01	0.63
EO_MEDCONSULT_010	13.0	0.64	0.45	0.0483331632997	0.561538461538
EO_MEDCONSULT_011	10.0	0.65	0.45	0.0598414572015	0.563
EO_MEDCONSULT_012	1.0	0.62	0.62	0.0	0.62
EO_MEDCONSULT_013	3.0	0.71	0.56	0.0634209919681	0.646666666667
EO_MEDCONSULT_014	6.0	0.63	0.4	0.0834166250416	0.525
EO_MEDCONSULT_015	7.0	0.62	0.47	0.0528378343112	0.552857142857
EO_POPSCI_001	29.0	0.78	0.64	0.0356859068496	0.712413793103
EO_POPSCI_002	25.0	0.84	0.66	0.042332020977	0.722
EO_POPSCI_003	32.0	0.82	0.55	0.0575331086745	0.7134375
EO_POPSCI_004	35.0	0.82	0.63	0.0510653842577	0.722571428571
EO_POPSCI_005	29.0	0.86	0.56	0.0577995223166	0.696206896552
EO_POPSCI_006	32.0	0.78	0.62	0.0375	0.7175
EO_POPSCI_007	12.0	0.69	0.54	0.0432290411645	0.6175
EO_POPSCI_008	29.0	0.77	0.59	0.0429998755632	0.666896551724
EO_POPSCI_009	28.0	0.76	0.57	0.0496865172859	0.6525
EO_POPSCI_010	25.0	0.74	0.56	0.0465342884334	0.6784
EO_POPSCI_011	28.0	0.77	0.6	0.0419122017205	0.680714285714
EO_SERMON_001	43.0	0.72	0.47	0.0540406273065	0.583488372093
EO_SERMON_002	20.0	0.68	0.5	0.0458121163013	0.5975
EO_SERMON_003	77.0	0.73	0.45	0.0573529196803	0.612597402597
EO_SERMON_004	27.0	0.66	0.42	0.0576280110217	0.565555555556
EO_SERMON_005	68.0	0.68	0.45	0.0540528704397	0.564411764706
EO_SERMON_006	55.0	0.67	0.45	0.0558983729564	0.560909090909
EO_SERMON_007	54.0	0.69	0.46	0.0533397629869	0.587407407407
EO_SERMON_008	58.0	0.7	0.45	0.0530779719453	0.572931034483
EO_SERMON_009	43.0	0.69	0.46	0.0552353732453	0.589534883721
EO_SERMON_010	48.0	0.69	0.43	0.0578776847229	0.562083333333
EO_SERMON_011	66.0	0.66	0.45	0.0469875332703	0.551666666667
EO_SERMON_012	69.0	0.66	0.46	0.047011955113	0.569855072464
EO_SERMON_013	56.0	0.7	0.41	0.0645233702322	0.542857142857
EO_SERMON_014	50.0	0.68	0.4	0.059243227461	0.5632
EO_SERMON_015	41.0	0.68	0.36	0.0648973013796	0.560731707317
EO_SERMON_016	36.0	0.68	0.47	0.0476896797594	0.5925
EO_SHARE_001	15.0	0.77	0.51	0.0636518307322	0.658666666667
EO_SHARE_002	22.0	0.81	0.63	0.0484042891345	0.715454545455
EO_SHARE_003	23.0	0.8	0.64	0.044424486172	0.707826086957
EO_SHARE_004	37.0	0.76	0.59	0.038458234392	0.675135135135
EO_SHARE_005	39.0	0.78	0.64	0.0406456763496	0.713076923077
EO_SHARE_006	21.0	0.8	0.64	0.0386037489514	0.71380952381
EO_SHARE_007	26.0	0.79	0.59	0.0451771660395	0.691153846154
EO_SHARE_008	15.0	0.78	0.63	0.043461349368	0.703333333333
EO_SHARE_009	20.0	0.73	0.55	0.0412886182864	0.6705
EO_SHARE_010	23.0	0.77	0.6	0.0441256155004	0.689130434783
EO_SHARE_011	30.0	0.78	0.62	0.0447772263545	0.695
EO_SHARE_012	21.0	0.77	0.62	0.0368363421063	0.689523809524
EO_SHARE_013	7.0	0.73	0.6	0.0392272291936	0.665714285714
EO_SPEECH_001	23.0	0.76	0.61	0.0396963902974	0.687391304348
EO_SPEECH_002	18.0	0.77	0.62	0.0407226390762	0.678333333333
EO_SPEECH_003	15.0	0.81	0.65	0.0415478305357	0.692666666667
EO_SPEECH_004	30.0	0.79	0.57	0.0516655913867	0.678
EO_SPEECH_005	22.0	0.81	0.63	0.0414010819518	0.713636363636
EO_SPEECH_006	27.0	0.78	0.63	0.0333621274812	0.704074074074
EO_SPEECH_007	19.0	0.77	0.6	0.0458045952043	0.705789473684
EO_SPEECH_008	24.0	0.82	0.66	0.0382153982927	0.7175
EO_SPEECH_009	23.0	0.78	0.58	0.05420677348	0.669130434783
EO_SPEECH_010	24.0	0.75	0.52	0.0482758278599	0.673333333333
EO_SPEECH_011	16.0	0.74	0.56	0.0502338282435	0.65625
EO_SPEECH_012	17.0	0.72	0.61	0.0280632010397	0.683529411765
EO_SPEECH_013	23.0	0.76	0.54	0.0481765813105	0.669130434783
EO_SPEECH_014	23.0	0.75	0.63	0.0372393271398	0.690434782609
EO_TALKSHOW_001	25.0	0.7	0.47	0.0497931722227	0.6208
EO_TALKSHOW_002	6.0	0.74	0.64	0.0393347457374	0.688333333333
EO_TALKSHOW_003	6.0	0.76	0.64	0.0389087250998	0.681666666667
EO_TALKSHOW_004	11.0	0.92	0.67	0.0577397982116	0.775454545455
EO_TALKSHOW_005	67.0	0.75	0.49	0.0545244125287	0.631791044776
